03-Feb-23 23:30:10 - Resetting dropped connection: api.vk.com
03-Feb-23 23:30:10 - https://api.vk.com:443 "POST /method/messages.getByConversationMessageId HTTP/1.1" 200 195
03-Feb-23 23:30:11 - https://api.vk.com:443 "POST /method/messages.send HTTP/1.1" 200 37
03-Feb-23 23:30:13 - https://lp.vk.com:443 "GET /wh218266206?act=a_check&key=1ce0b04fef3ab2fe69dc95c9c7a774031c0f8515&ts=22988&wait=25 HTTP/1.1" 200 1649
03-Feb-23 23:30:13 - https://lp.vk.com:443 "GET /wh218266206?act=a_check&key=1ce0b04fef3ab2fe69dc95c9c7a774031c0f8515&ts=22989&wait=25 HTTP/1.1" 200 716
03-Feb-23 23:30:18 - https://lp.vk.com:443 "GET /wh218266206?act=a_check&key=1ce0b04fef3ab2fe69dc95c9c7a774031c0f8515&ts=22990&wait=25 HTTP/1.1" 200 715
03-Feb-23 23:30:43 - https://lp.vk.com:443 "GET /wh218266206?act=a_check&key=1ce0b04fef3ab2fe69dc95c9c7a774031c0f8515&ts=22991&wait=25 HTTP/1.1" 200 29
03-Feb-23 23:30:53 - https://lp.vk.com:443 "GET /wh218266206?act=a_check&key=1ce0b04fef3ab2fe69dc95c9c7a774031c0f8515&ts=22991&wait=25 HTTP/1.1" 200 789
03-Feb-23 23:30:59 - https://lp.vk.com:443 "GET /wh218266206?act=a_check&key=1ce0b04fef3ab2fe69dc95c9c7a774031c0f8515&ts=22992&wait=25 HTTP/1.1" 200 571
03-Feb-23 23:30:59 - https://api.vk.com:443 "POST /method/messages.getByConversationMessageId HTTP/1.1" 200 197
03-Feb-23 23:30:59 - https://api.vk.com:443 "POST /method/messages.send HTTP/1.1" 200 37
03-Feb-23 23:31:12 - https://lp.vk.com:443 "GET /wh218266206?act=a_check&key=1ce0b04fef3ab2fe69dc95c9c7a774031c0f8515&ts=22993&wait=25 HTTP/1.1" 200 642
03-Feb-23 23:31:21 - https://lp.vk.com:443 "GET /wh218266206?act=a_check&key=1ce0b04fef3ab2fe69dc95c9c7a774031c0f8515&ts=22994&wait=25 HTTP/1.1" 200 630
03-Feb-23 23:31:24 - https://lp.vk.com:443 "GET /wh218266206?act=a_check&key=1ce0b04fef3ab2fe69dc95c9c7a774031c0f8515&ts=22995&wait=25 HTTP/1.1" 200 1427
03-Feb-23 23:31:25 - https://lp.vk.com:443 "GET /wh218266206?act=a_check&key=1ce0b04fef3ab2fe69dc95c9c7a774031c0f8515&ts=22996&wait=25 HTTP/1.1" 200 622
03-Feb-23 23:31:29 - https://lp.vk.com:443 "GET /wh218266206?act=a_check&key=1ce0b04fef3ab2fe69dc95c9c7a774031c0f8515&ts=22997&wait=25 HTTP/1.1" 200 584
03-Feb-23 23:31:31 - https://lp.vk.com:443 "GET /wh218266206?act=a_check&key=1ce0b04fef3ab2fe69dc95c9c7a774031c0f8515&ts=22998&wait=25 HTTP/1.1" 200 619
03-Feb-23 23:31:35 - https://lp.vk.com:443 "GET /wh218266206?act=a_check&key=1ce0b04fef3ab2fe69dc95c9c7a774031c0f8515&ts=22999&wait=25 HTTP/1.1" 200 577
03-Feb-23 21:44:54 - https://lp.vk.com:443 "GET /wh218266206?act=a_check&key=456ba51e9d30133afc791fd3a2fe41347161f6ff&ts=23247&wait=25 HTTP/1.1" 200 1590
03-Feb-23 21:44:59 - https://lp.vk.com:443 "GET /wh218266206?act=a_check&key=456ba51e9d30133afc791fd3a2fe41347161f6ff&ts=23248&wait=25 HTTP/1.1" 200 570
03-Feb-23 21:44:59 - https://api.vk.com:443 "POST /method/messages.getByConversationMessageId HTTP/1.1" 200 194
03-Feb-23 21:44:59 - https://api.vk.com:443 "POST /method/messages.send HTTP/1.1" 200 37
03-Feb-23 21:45:02 - https://lp.vk.com:443 "GET /wh218266206?act=a_check&key=456ba51e9d30133afc791fd3a2fe41347161f6ff&ts=23249&wait=25 HTTP/1.1" 200 784
03-Feb-23 21:45:03 - https://lp.vk.com:443 "GET /wh218266206?act=a_check&key=456ba51e9d30133afc791fd3a2fe41347161f6ff&ts=23250&wait=25 HTTP/1.1" 200 634
03-Feb-23 21:45:03 - https://lp.vk.com:443 "GET /wh218266206?act=a_check&key=456ba51e9d30133afc791fd3a2fe41347161f6ff&ts=23251&wait=25 HTTP/1.1" 200 754
03-Feb-23 21:45:06 - https://lp.vk.com:443 "GET /wh218266206?act=a_check&key=456ba51e9d30133afc791fd3a2fe41347161f6ff&ts=23252&wait=25 HTTP/1.1" 200 589
03-Feb-23 21:45:06 - https://lp.vk.com:443 "GET /wh218266206?act=a_check&key=456ba51e9d30133afc791fd3a2fe41347161f6ff&ts=23253&wait=25 HTTP/1.1" 200 575
03-Feb-23 21:45:06 - https://api.vk.com:443 "POST /method/messages.getByConversationMessageId HTTP/1.1" 200 197
03-Feb-23 21:45:06 - https://api.vk.com:443 "POST /method/messages.send HTTP/1.1" 200 37
03-Feb-23 21:45:08 - https://lp.vk.com:443 "GET /wh218266206?act=a_check&key=456ba51e9d30133afc791fd3a2fe41347161f6ff&ts=23254&wait=25 HTTP/1.1" 200 739
03-Feb-23 21:45:13 - https://lp.vk.com:443 "GET /wh218266206?act=a_check&key=456ba51e9d30133afc791fd3a2fe41347161f6ff&ts=23255&wait=25 HTTP/1.1" 200 573
03-Feb-23 21:45:14 - https://lp.vk.com:443 "GET /wh218266206?act=a_check&key=456ba51e9d30133afc791fd3a2fe41347161f6ff&ts=23256&wait=25 HTTP/1.1" 200 730
03-Feb-23 21:45:14 - https://api.vk.com:443 "POST /method/messages.getByConversationMessageId HTTP/1.1" 200 235
03-Feb-23 21:45:14 - https://api.vk.com:443 "POST /method/messages.send HTTP/1.1" 200 37
03-Feb-23 21:45:15 - https://lp.vk.com:443 "GET /wh218266206?act=a_check&key=456ba51e9d30133afc791fd3a2fe41347161f6ff&ts=23257&wait=25 HTTP/1.1" 200 571
03-Feb-23 21:45:19 - https://lp.vk.com:443 "GET /wh218266206?act=a_check&key=456ba51e9d30133afc791fd3a2fe41347161f6ff&ts=23258&wait=25 HTTP/1.1" 200 580
03-Feb-23 21:45:20 - https://lp.vk.com:443 "GET /wh218266206?act=a_check&key=456ba51e9d30133afc791fd3a2fe41347161f6ff&ts=23259&wait=25 HTTP/1.1" 200 589
03-Feb-23 21:45:26 - https://lp.vk.com:443 "GET /wh218266206?act=a_check&key=456ba51e9d30133afc791fd3a2fe41347161f6ff&ts=23260&wait=25 HTTP/1.1" 200 601
03-Feb-23 21:45:28 - https://lp.vk.com:443 "GET /wh218266206?act=a_check&key=456ba51e9d30133afc791fd3a2fe41347161f6ff&ts=23261&wait=25 HTTP/1.1" 200 581
03-Feb-23 21:45:28 - https://lp.vk.com:443 "GET /wh218266206?act=a_check&key=456ba51e9d30133afc791fd3a2fe41347161f6ff&ts=23262&wait=25 HTTP/1.1" 200 900
